fullDisplayName,category,assessment,columnHeader,description
2. Minutes to fall asleep (past month),Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Min2Asleep,"PSQI 2. During the past month, how long has it usually taken you to fall asleep each night (# of minutes)."
3. Time get up in morning (past month),Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_GetUpTime,"PSQI 3. During the past month, when have you usually gotten up in the morning? Time in 24h:00min."
4. Hours of sleep per night (past month),Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_AmtSleep,"PSQI 4. During the past month, how many hours of actual sleep did you get at night? (This may be different than the number of hours you spend in bed.)"
5a. Sleep Trouble - Can't get to sleep within 30 minutes,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Latency30Min,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (a) Cannot get to sleep within 30 minutes; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5b. Sleep Trouble - Wake up in middle of night or early morning,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_WakeUp,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (b) Wake up in the middle of the night or early morning; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5c. Sleep Trouble - Get up to use bathroom,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Bathroom,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (c) Have to get up to use the bathroom; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5d. Sleep Trouble - Can't breathe comfortably,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Breathe,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (d) Cannot breathe comfortably; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5e. Sleep Trouble - Cough or snore loudly,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Snore,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (e) Cough or snore loudly; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5f. Sleep Trouble - Feel too cold,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_TooCold,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (f) Feel too cold; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5g. Sleep Trouble - Feel too hot,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_TooHot,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (g) Feel too hot; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5h. Sleep Trouble - Had bad dreams,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_BadDream,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (h) Had bad dreams; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5i. Sleep Trouble - Have pain,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Pain,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (i) Have pain; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
5j. Sleep Trouble - Other,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Other,"PSQI 5.During the past month, how often have you had trouble sleeping because of...  (j) Other reason(s), as described in 5j. pt2 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
6. Describe overall sleep quality,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_Quality,"PSQI 6.During the past month, how would you rate your sleep quality overall?  0=Very good, 1=Fairly good, 2=Fairly bad, 3=Very bad"
7. How often taken sleep medicine,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_SleepMeds,"PSQI 7.During the past month, how often have you taken medicine (prescribed or \""over the counter\"") to help you sleep?  0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
8. How often trouble staying awake,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_DayStayAwake,"PSQI 8.During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?  0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week"
9. How often trouble keeping up enthusiasm,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_DayEnthusiasm,"PSQI 9.During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?  0=No problem at all, 1=Only a very slight problem, 2=Somewhat of a problem, 3=A very big problem"
10. Have bed partner or roommate,Alertness,Sleep (Pittsburgh Sleep Questionnaire),PSQI_BedPtnrRmate,"PSQI 10.Do you have a bed partner or roommate?  0=No bed partner or roomate, 1=Partner/roomate in other room, 2=Partner in same room, but not same bed, 3=Partner in same bed"
NIH Toolbox Picture Sequence Memory Test: Unadjusted Scale Score,Cognition,Episodic Memory (Picture Sequence Memory),PicSeq_Unadj,"The Picture Sequence Memory Test is an assessment of episodic memory for ages 3-85 years which involves the acquisition, storage and effortful recall of new information. It is considered a strong 'fluid ability' measure, with performance reaching a peak in early adulthood and declining across the life span. It involves recalling increasingly lengthy series of illustrated objects and activities that are presented in a particular order on the computer screen. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
NIH Toolbox Picture Sequence Memory Test: Age-Adjusted Scale Score,Cognition,Episodic Memory (Picture Sequence Memory),PicSeq_AgeAdj,"The Picture Sequence Memory Test is an assessment of episodic memory for ages 3-85 years which involves the acquisition, storage and effortful recall of new information. It is considered a strong 'fluid ability' measure, with performance reaching a peak in early adulthood and declining across the life span. It involves recalling increasingly lengthy series of illustrated objects and activities that are presented in a particular order on the computer screen. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Dimensional Change Card Sort Test: Unadjusted Scale Score,Cognition,Executive Function/Cognitive Flexibility (Dimensional Change Card Sort),CardSort_Unadj,"The Dimensional Change Card Sort Test is a measure of executive function, specifically tapping cognitive flexibility for ages 3-85. It is considered a 'fluid ability' measure, with performance generally increasing through childhood and then declining across the adult age span. Target pictures are presented that vary along two dimensions (e.g., shape and color). Participants are asked to match a series of bivalent test pictures (e.g., yellow balls and blue trucks) to the target pictures, first according to one dimension (e.g., color) and then, after a number of trials, according to the other dimension (e.g., shape). Switch trials are also employed, in which the participant must change the dimension being matched, thus requiring the cognitive flexibility to quickly choose the correct stimulus. Scoring is based on a combination of accuracy and reaction time. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Dimensional Change Card Sort Test: Age-Adjusted Scale Score,Cognition,Executive Function/Cognitive Flexibility (Dimensional Change Card Sort),CardSort_AgeAdj,"The Dimensional Change Card Sort Test is a measure of executive function, specifically tapping cognitive flexibility for ages 3-85. DCCS is considered a 'fluid ability' measure, with performance generally increasing through childhood and then declining across the adult age span. Target pictures are presented that vary along two dimensions (e.g., shape and color). Participants are asked to match a series of bivalent test pictures (e.g., yellow balls and blue trucks) to the target pictures, first according to one dimension (e.g., color) and then, after a number of trials, according to the other dimension (e.g., shape). Switch trials are also employed, in which the participant must change the dimension being matched, thus requiring the cognitive flexibility to quickly choose the correct stimulus. Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Flanker Inhibitory Control and Attention Test: Unadjusted Scale Score,Cognition,Executive Function/Inhibition (Flanker Task),Flanker_Unadj,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Flanker Inhibitory Control and Attention Test: Age-Adjusted Scale Score,Cognition,Executive Function/Inhibition (Flanker Task),Flanker_AgeAdj,"The Flanker is a measure of executive function, specifically tapping inhibitory control and attention for ages 3-85. It is considered a fluid ability measure (i.e. measures the capacity for new learning and information processing in novel situations) in which performance reaches a peak in early adulthood, then tends to decline across the life span. The test requires the participant to focus on a given stimulus while inhibiting attention to stimuli (arrows for ages 8-85) flanking it. Sometimes the middle stimulus is pointing in the same direction as the flankers (congruent) and sometimes in the opposite direction (incongruent). Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
